Name,id,Start,End,URL,Free
CU Hack Night - weekly meeting,32178414504,2017-11-14 18:00:00,2017-11-14 20:00:00,https://www.eventbrite.com/e/cu-hack-night-weekly-meeting-tickets-32178414504?aff=ebapi,True
Real Estate Investing Webinar Champaign,33976838639,2017-11-14 19:00:00,2017-11-14 19:30:00,https://www.eventbrite.com/e/real-estate-investing-webinar-champaign-tickets-33976838639?aff=ebapi,True
Real Estate Investing Webinar Champaign IL,35483311540,2017-11-14 19:00:00,2017-11-14 19:30:00,https://www.eventbrite.com/e/real-estate-investing-webinar-champaign-il-tickets-35483311540?aff=ebapi,True
Real Estate Investing Webinar Urbana,35484902298,2017-11-14 19:00:00,2017-11-14 19:30:00,https://www.eventbrite.com/e/real-estate-investing-webinar-urbana-tickets-35484902298?aff=ebapi,True
"PMI-ACP 3 Days Classroom Training in Champaign, IL",34082166678,2017-11-15 09:00:00,2017-11-17 17:00:00,https://www.eventbrite.com/e/pmi-acp-3-days-classroom-training-in-champaign-il-tickets-34082166678?aff=ebapi,False
Free 3D Printing !,37363921495,2017-11-15 13:00:00,2017-11-15 19:00:00,https://www.eventbrite.com/e/free-3d-printing-tickets-37363921495?aff=ebapi,True
"Fused ""Burnouts"" ",39371851267,2017-11-15 13:00:00,2017-11-15 16:00:00,https://www.eventbrite.com/e/fused-burnouts-tickets-39371851267?aff=ebapi,False
"""Wave"" ",39372515253,2017-11-15 18:00:00,2017-11-15 21:00:00,https://www.eventbrite.com/e/wave-tickets-39372515253?aff=ebapi,False
Free MOSTRA Film Screening - Two Sons of Francisco,39412641271,2017-11-15 18:30:00,2017-11-15 21:30:00,https://www.eventbrite.com/e/free-mostra-film-screening-two-sons-of-francisco-tickets-39412641271?aff=ebapi,True
Movie Night at the Illinois MakerLab!,39679745186,2017-11-15 19:00:00,2017-11-15 21:00:00,https://www.eventbrite.com/e/movie-night-at-the-illinois-makerlab-tickets-39679745186?aff=ebapi,True
"November 2017 Functional Forum [Urbana, IL]",38847229108,2017-11-15 19:00:00,2017-11-15 21:00:00,https://www.eventbrite.com/e/november-2017-functional-forum-urbana-il-tickets-38847229108?aff=ebapi,True
What Does Your Employer Want? Aligning the Boss's Expectations with the Realities of Fundraising ,39301211983,2017-11-16 11:30:00,2017-11-16 13:00:00,https://www.eventbrite.com/e/what-does-your-employer-want-aligning-the-bosss-expectations-with-the-realities-of-fundraising-tickets-39301211983?aff=ebapi,False
Japanese Tea Ceremony,36726194035,2017-11-16 15:00:00,2017-11-16 16:00:00,https://www.eventbrite.com/e/japanese-tea-ceremony-tickets-36726194035?aff=ebapi,False
Midwest Underground Technology - Apprenticeship Expo,39659476562,2017-11-16 16:00:00,2017-11-16 18:00:00,https://www.eventbrite.com/e/midwest-underground-technology-apprenticeship-expo-registration-39659476562?aff=ebapi,True
3D Design Workshop - Fusion 360,37351275671,2017-11-16 17:30:00,2017-11-16 19:00:00,https://www.eventbrite.com/e/3d-design-workshop-fusion-360-tickets-37351275671?aff=ebapi,False
DIY Thanksgiving Centerpieces,39166775881,2017-11-17 18:00:00,2017-11-17 19:30:00,https://www.eventbrite.com/e/diy-thanksgiving-centerpieces-tickets-39166775881?aff=ebapi,False
Black and White Scholarship Ball,38819615515,2017-11-17 19:00:00,2017-11-17 23:00:00,https://www.eventbrite.com/e/black-and-white-scholarship-ball-tickets-38819615515?aff=ebapi,False
"B2H Beauty, Business and Health Mini Conference (Be Beautiful on Camera and on Paper)",38522373456,2017-11-18 09:00:00,2017-11-18 17:00:00,https://www.eventbrite.com/e/b2h-beauty-business-and-health-mini-conference-be-beautiful-on-camera-and-on-paper-tickets-38522373456?aff=ebapi,False
